Transaction_ID,Customer_ID,Account_Age_Months,Customer_Age,Gender,Marital_Status,Income_Level,Occupation,Device_Type,Is_Registered_Device,Transaction_Type,Merchant_Category,Location_Match,Country_Match,IP_Risk_Score,Amount,Time_of_Day,Day_of_Week,Is_Weekend,Is_Holiday,Num_Past_Transactions,Avg_Transaction_Amount_30d,Num_Failed_Login_24h,Past_Fraud_Flag,Card_Swipe_Error,Transaction_Duration_Seconds,Velocity_Score,Device_OS,Card_Type,Card_Tier,Foreign_Transaction,Currency_Conversion_Rate,Customer_Segment,Loyalty_Status,Risk_Score,Is_Fraud
1,CUST10000,93,32,Other,Single,Low,Retired,Mobile,Yes,In-Store,Grocery,Yes,Yes,0.22,350.36,Morning,Saturday,Yes,No,43,63.57,0,No,No,60,0.82,Linux,Debit,Basic,No,1.09,Retail,Bronze,0.23,0
2,CUST10001,135,38,Male,Divorced,High,Professional,POS_Terminal,Yes,In-Store,Pharmacy,Yes,Yes,0.27,27.58,Night,Tuesday,No,No,52,74.34,0,No,No,3,0.72,Windows,Debit,Basic,No,1.08,Business,Silver,0.09,0
3,CUST10002,213,33,Female,Married,Low,Service,Desktop,Yes,Online,Electronics,Yes,Yes,0.06,1.58,Night,Monday,No,No,48,93.61,0,No,No,29,1.14,Windows,Prepaid,Gold,No,1.02,Retail,Gold,0.57,1
4,CUST10003,219,52,Female,Divorced,Low,Student,Mobile,Yes,ATM,Pharmacy,Yes,Yes,0.06,73.97,Evening,Friday,Yes,No,46,81.76,1,No,No,37,1.03,iOS,Debit,Platinum,No,1.13,Retail,Silver,0.23,0
5,CUST10004,108,61,Male,Single,Low,Student,Desktop,Yes,Wire,Apparel,Yes,Yes,0.3,104.32,Afternoon,Wednesday,No,Yes,47,77.54,0,No,No,153,0.75,Android,Prepaid,Gold,No,1.11,Business,Gold,0.03,0
6,CUST10005,130,20,Other,Single,High,Service,POS_Terminal,Yes,In-Store,Grocery,Yes,Yes,0.32,238.89,Night,Thursday,No,No,41,75.08,1,No,No,124,1.15,Android,Prepaid,Gold,No,1.07,Retail,Bronze,0.24,0
7,CUST10006,187,23,Male,Married,Medium,Retired,Mobile,Yes,In-Store,Pharmacy,Yes,Yes,0.49,10.11,Evening,Tuesday,No,No,48,84.64,1,No,No,264,1.19,Linux,Prepaid,Gold,No,1.11,Retail,Silver,0.5,0
8,CUST10007,9,58,Male,Single,High,Retired,POS_Terminal,Yes,Wire,Pharmacy,Yes,Yes,0.19,17.63,Night,Wednesday,Yes,No,52,99.34,0,No,Yes,195,1.21,Android,Prepaid,Gold,No,1.17,Retail,Bronze,0.1,0
9,CUST10008,135,20,Male,Single,High,Service,POS_Terminal,Yes,Wire,Pharmacy,Yes,Yes,0.12,49.94,Morning,Thursday,No,No,53,129.69,0,No,No,148,1.02,Linux,Prepaid,Gold,No,1.1,Business,Bronze,0.26,0
10,CUST10009,46,70,Other,Divorced,Low,Retired,POS_Terminal,Yes,ATM,Electronics,No,Yes,0.41,46.63,Evening,Thursday,Yes,No,37,58.73,1,No,No,274,1.09,Linux,Debit,Platinum,No,1.19,Business,Silver,0.09,0
11,CUST10010,36,62,Other,Single,High,Professional,POS_Terminal,Yes,ATM,Pharmacy,Yes,Yes,0.31,39.77,Afternoon,Tuesday,No,No,59,35.17,1,No,No,263,1.09,Android,Prepaid,Platinum,Yes,1.22,Retail,Gold,0.78,0
12,CUST10011,92,72,Female,Married,Low,Professional,Desktop,Yes,ATM,Grocery,Yes,Yes,0.33,58.4,Morning,Tuesday,Yes,No,39,78.14,1,No,No,70,0.73,iOS,Prepaid,Gold,No,1.19,Retail,Gold,0.54,0
13,CUST10012,94,63,Male,Single,High,Student,POS_Terminal,No,In-Store,Apparel,Yes,Yes,0.31,104.92,Night,Tuesday,Yes,Yes,45,75.04,0,No,No,248,1.15,Windows,Credit,Platinum,No,1.12,Business,Silver,0.33,0
14,CUST10013,171,54,Female,Divorced,Medium,Professional,Mobile,Yes,In-Store,Electronics,Yes,Yes,0.64,3.97,Evening,Monday,Yes,No,46,61.01,0,No,No,116,0.88,Android,Debit,Basic,No,1.08,Business,Gold,0.37,0
15,CUST10014,138,54,Male,Single,Low,Professional,Desktop,Yes,Online,Pharmacy,Yes,No,0.09,267.01,Afternoon,Wednesday,No,No,48,66.84,1,No,No,188,1.05,Android,Prepaid,Basic,Yes,1.08,Business,Gold,0.44,0
16,CUST10015,69,52,Other,Married,Low,Student,Desktop,Yes,In-Store,Electronics,Yes,Yes,0.19,550.44,Morning,Saturday,No,No,55,92.78,2,No,No,284,1.1,Windows,Credit,Gold,No,1.16,High Net Worth,Gold,0.26,0
17,CUST10016,91,27,Male,Divorced,High,Professional,Mobile,No,Wire,Apparel,Yes,Yes,0.3,12.5,Morning,Tuesday,Yes,No,55,74.04,1,No,No,118,1.01,Android,Prepaid,Gold,No,1.15,Retail,Silver,0.36,0
18,CUST10017,14,32,Male,Married,Medium,Service,Mobile,Yes,Wire,Pharmacy,Yes,Yes,0.18,20.84,Morning,Monday,Yes,No,47,36.75,1,No,No,254,1.07,iOS,Debit,Basic,No,1.18,High Net Worth,Silver,0.1,0
19,CUST10018,146,49,Female,Single,Medium,Professional,Mobile,No,Wire,Electronics,Yes,Yes,0.27,3.75,Night,Wednesday,No,No,54,99.65,2,No,No,84,0.94,Windows,Credit,Platinum,No,1.02,Business,Gold,0.24,0
